Area Name,Occupational Title, Employment,Mean Wage, Entry Wage,Experienced Wage
Capital Region,Statisticians,90,78.5,45,95.26
Capital Region,Computer and Mathematical Occupations,16230,75.98,48.53,89.7
Capital Region,Computer and Information Research Scientists,60,117.52,91.01,130.77
Capital Region,Computer Systems Analysts,3820,78.02,57.41,88.33
Capital Region,Information Security Analysts,290,89.54,60.1,104.26
Capital Region,Computer Programmers,2170,76.98,60.55,85.2
Capital Region,Software Developers Applications,2290,83.83,52.97,99.25
Capital Region,Software Developers Systems Software,810,102.81,72.07,118.18
Capital Region,Web Developers,420,67.44,45.71,78.3
Capital Region,Database Administrators,530,85,59.96,97.52
Capital Region,Network and Computer Systems Administrators,1610,75.72,50.37,88.39
Capital Region,Computer Network Architects,330,99.27,71.61,113.1
Capital Region,Computer User Support Specialists,2540,51.11,34.17,59.58
Capital Region,Computer Network Support Specialists,670,65.38,42.68,76.73
Capital Region,Computer Occupations All Other,270,82.12,51.84,97.27
Capital Region,Actuaries,140,119.53,66,146.3
Capital Region,Operations Research Analysts,190,65.2,41.58,77
Central New York Region,Computer and Mathematical Occupations,7070,77.46,45.99,93.2
Central New York Region,Computer Systems Analysts,680,79.09,52.23,92.51
Central New York Region,Information Security Analysts,70,89.9,62.16,103.77
Central New York Region,Computer Programmers,560,74.09,51.17,85.55
Central New York Region,Software Developers Applications,1090,88.6,64.23,100.78
Central New York Region,Software Developers Systems Software,720,109.25,79.18,124.29
Central New York Region,Web Developers,200,57.56,37.69,67.5
Central New York Region,Database Administrators,120,71.43,46.52,83.88
Central New York Region,Network and Computer Systems Administrators,730,71.05,46.82,83.16
Central New York Region,Computer Network Architects,460,95.58,56.11,115.31
Central New York Region,Computer User Support Specialists,1640,55.69,34.02,66.52
Central New York Region,Computer Network Support Specialists,370,68.02,42.91,80.57
Central New York Region,Computer Occupations All Other,180,85.14,62.37,96.52
Central New York Region,Operations Research Analysts,150,90.49,61.48,105
Finger Lakes Region,Computer and Mathematical Occupations,17770,73.87,42.47,89.57
Finger Lakes Region,Computer Systems Analysts,2690,83.03,51.74,98.68
Finger Lakes Region,Information Security Analysts,250,85,58.52,98.24
Finger Lakes Region,Computer Programmers,1320,72.79,43.29,87.54
Finger Lakes Region,Software Developers Applications,2550,87.65,57.4,102.78
Finger Lakes Region,Software Developers Systems Software,2110,98.31,69.05,112.94
Finger Lakes Region,Web Developers,380,61.54,38.25,73.19
Finger Lakes Region,Database Administrators,380,81.2,47.61,98
Finger Lakes Region,Network and Computer Systems Administrators,1610,74.39,51.21,85.98
Finger Lakes Region,Computer Network Architects,800,81.87,55.55,95.03
Finger Lakes Region,Computer User Support Specialists,4150,48.94,31.78,57.52
Finger Lakes Region,Computer Network Support Specialists,1210,60.97,38.95,71.98
Finger Lakes Region,Computer Occupations All Other,80,82.96,42.49,103.19
Finger Lakes Region,Operations Research Analysts,170,67.19,48.87,76.35
Hudson Valley Region,Computer and Mathematical Occupations,16370,92.78,51.82,113.26
Hudson Valley Region,Computer Systems Analysts,1980,101.34,64.06,119.98
Hudson Valley Region,Information Security Analysts,310,105.54,69.53,123.54
Hudson Valley Region,Computer Programmers,1400,76.44,46.15,91.58
Hudson Valley Region,Software Developers Applications,2560,113.17,71.71,133.9
Hudson Valley Region,Software Developers Systems Software,1740,109.08,80.97,123.14
Hudson Valley Region,Web Developers,620,76.21,41.38,93.62
Hudson Valley Region,Database Administrators,590,87.98,56.85,103.54
Hudson Valley Region,Network and Computer Systems Administrators,2100,91.08,59.85,106.69
Hudson Valley Region,Computer Network Architects,290,112.3,69.6,133.66
Hudson Valley Region,Computer User Support Specialists,2860,56.99,39.82,65.57
Hudson Valley Region,Computer Network Support Specialists,800,92.35,47.08,114.98
